"kf_id","kf_genre","kf_start_of_week","kf_keyword","kf_sentiment","kf_frequency","kf_post_continent","kf_genre_code","kf_post_continent_code"
"641698","variety","2025-08-18","lee dong wook","1","0","South America","3","4"
"641699","variety","2025-08-18","lee dong wook","1","0","Southeast Asia","3","2"
"641700","variety","2025-08-18","lee know","-1","0","East Asia","3","1"
"641701","variety","2025-08-18","lee know","-1","0","Europe","3","5"
"641702","variety","2025-08-18","lee know","-1","0","Middle East","3","6"
"641703","variety","2025-08-18","lee know","-1","0","North America","3","3"
"641704","variety","2025-08-18","lee know","-1","0","South America","3","4"
"641705","variety","2025-08-18","lee know","-1","0","Southeast Asia","3","2"
"641706","variety","2025-08-18","lee know","0","0","East Asia","3","1"
"641707","variety","2025-08-18","lee know","0","0","Europe","3","5"
"641708","variety","2025-08-18","lee know","0","0","Middle East","3","6"
"641709","variety","2025-08-18","lee know","0","0","South America","3","4"
"641710","variety","2025-08-18","lee know","0","0","Southeast Asia","3","2"
"641711","variety","2025-08-18","lee know","1","0","East Asia","3","1"
"641712","variety","2025-08-18","lee know","1","0","Europe","3","5"
"641713","variety","2025-08-18","lee know","1","0","Middle East","3","6"
"641714","variety","2025-08-18","lee know","1","0","South America","3","4"
"641715","variety","2025-08-18","lee know","1","0","Southeast Asia","3","2"
"641716","variety","2025-08-18","lisa","-1","0","East Asia","3","1"
"641717","variety","2025-08-18","lisa","-1","0","Europe","3","5"
"641718","variety","2025-08-18","lisa","-1","0","Middle East","3","6"
"641719","variety","2025-08-18","lisa","-1","0","South America","3","4"
"641720","variety","2025-08-18","lisa","-1","0","Southeast Asia","3","2"
"641721","variety","2025-08-18","lisa","0","0","East Asia","3","1"
"641722","variety","2025-08-18","lisa","0","0","Europe","3","5"
"641723","variety","2025-08-18","lisa","0","0","Middle East","3","6"
"641724","variety","2025-08-18","lisa","0","0","South America","3","4"
"641725","variety","2025-08-18","lisa","0","0","Southeast Asia","3","2"
"641726","variety","2025-08-18","lisa","1","0","East Asia","3","1"
"641727","variety","2025-08-18","lisa","1","0","Europe","3","5"
"641728","variety","2025-08-18","lisa","1","0","Middle East","3","6"
"641729","variety","2025-08-18","lisa","1","0","South America","3","4"
"641730","variety","2025-08-18","lisa","1","0","Southeast Asia","3","2"
"641731","variety","2025-08-18","manon","-1","0","East Asia","3","1"
"641732","variety","2025-08-18","manon","-1","0","Europe","3","5"
"641733","variety","2025-08-18","manon","-1","0","Middle East","3","6"
"641734","variety","2025-08-18","manon","-1","0","South America","3","4"
"641735","variety","2025-08-18","manon","-1","0","Southeast Asia","3","2"
"641736","variety","2025-08-18","manon","0","0","East Asia","3","1"
"641737","variety","2025-08-18","manon","0","0","Europe","3","5"
"641738","variety","2025-08-18","manon","0","0","Middle East","3","6"
"641739","variety","2025-08-18","manon","0","0","North America","3","3"
"641740","variety","2025-08-18","manon","0","0","South America","3","4"
"641741","variety","2025-08-18","manon","0","0","Southeast Asia","3","2"
"641742","variety","2025-08-18","manon","1","0","East Asia","3","1"
"641743","variety","2025-08-18","manon","1","0","Europe","3","5"
"641744","variety","2025-08-18","manon","1","0","Middle East","3","6"
"641745","variety","2025-08-18","manon","1","0","South America","3","4"
"641746","variety","2025-08-18","manon","1","0","Southeast Asia","3","2"
"641747","variety","2025-08-18","meovv","-1","0","East Asia","3","1"
"641748","variety","2025-08-18","meovv","-1","0","Europe","3","5"
"641749","variety","2025-08-18","meovv","-1","0","Middle East","3","6"
"641750","variety","2025-08-18","meovv","-1","0","South America","3","4"
"641751","variety","2025-08-18","meovv","-1","0","Southeast Asia","3","2"
"641752","variety","2025-08-18","meovv","0","0","East Asia","3","1"
"641753","variety","2025-08-18","meovv","0","0","Europe","3","5"
"641754","variety","2025-08-18","meovv","0","0","Middle East","3","6"
"641755","variety","2025-08-18","meovv","0","0","North America","3","3"
"641756","variety","2025-08-18","meovv","0","0","South America","3","4"
"641757","variety","2025-08-18","meovv","0","0","Southeast Asia","3","2"
"641758","variety","2025-08-18","meovv","1","0","East Asia","3","1"
"641759","variety","2025-08-18","meovv","1","0","Europe","3","5"
"641760","variety","2025-08-18","meovv","1","0","Middle East","3","6"
"641761","variety","2025-08-18","meovv","1","0","North America","3","3"
"641762","variety","2025-08-18","meovv","1","0","South America","3","4"
"641763","variety","2025-08-18","meovv","1","0","Southeast Asia","3","2"
"641764","variety","2025-08-18","park bo gum","-1","0","East Asia","3","1"
"641765","variety","2025-08-18","park bo gum","-1","0","Europe","3","5"
"641766","variety","2025-08-18","park bo gum","-1","0","Middle East","3","6"
"641767","variety","2025-08-18","park bo gum","-1","0","North America","3","3"
"641768","variety","2025-08-18","park bo gum","-1","0","South America","3","4"
"641769","variety","2025-08-18","park bo gum","-1","0","Southeast Asia","3","2"
"641770","variety","2025-08-18","park bo gum","0","0","East Asia","3","1"
"641771","variety","2025-08-18","park bo gum","0","0","Europe","3","5"
"641772","variety","2025-08-18","park bo gum","0","0","Middle East","3","6"
"641773","variety","2025-08-18","park bo gum","0","0","South America","3","4"
"641774","variety","2025-08-18","park bo gum","0","0","Southeast Asia","3","2"
"641775","variety","2025-08-18","park bo gum","1","0","East Asia","3","1"
"641776","variety","2025-08-18","park bo gum","1","0","Europe","3","5"
"641777","variety","2025-08-18","park bo gum","1","0","Middle East","3","6"
"641778","variety","2025-08-18","park bo gum","1","0","North America","3","3"
"641779","variety","2025-08-18","park bo gum","1","0","South America","3","4"
"641780","variety","2025-08-18","park bo gum","1","0","Southeast Asia","3","2"
"641781","variety","2025-08-18","seventeen","-1","0","East Asia","3","1"
"641782","variety","2025-08-18","seventeen","-1","0","Europe","3","5"
"641783","variety","2025-08-18","seventeen","-1","0","Middle East","3","6"
"641784","variety","2025-08-18","seventeen","-1","0","South America","3","4"
"641785","variety","2025-08-18","seventeen","-1","0","Southeast Asia","3","2"
"641786","variety","2025-08-18","seventeen","0","0","East Asia","3","1"
"641787","variety","2025-08-18","seventeen","0","0","Europe","3","5"
"641788","variety","2025-08-18","seventeen","0","0","Middle East","3","6"
"641789","variety","2025-08-18","seventeen","0","0","South America","3","4"
"641790","variety","2025-08-18","seventeen","0","0","Southeast Asia","3","2"
"641791","variety","2025-08-18","seventeen","1","0","East Asia","3","1"
"641792","variety","2025-08-18","seventeen","1","0","Europe","3","5"
"641793","variety","2025-08-18","seventeen","1","0","Middle East","3","6"
"641794","variety","2025-08-18","seventeen","1","0","North America","3","3"
"641795","variety","2025-08-18","seventeen","1","0","South America","3","4"
"641796","variety","2025-08-18","seventeen","1","0","Southeast Asia","3","2"
"641797","variety","2025-08-18","soobin","-1","0","East Asia","3","1"
"641798","variety","2025-08-18","soobin","-1","0","Europe","3","5"
"641799","variety","2025-08-18","soobin","-1","0","Middle East","3","6"
"641800","variety","2025-08-18","soobin","-1","0","North America","3","3"
"641801","variety","2025-08-18","soobin","-1","0","South America","3","4"
"641802","variety","2025-08-18","soobin","-1","0","Southeast Asia","3","2"
"641803","variety","2025-08-18","soobin","0","0","East Asia","3","1"
"641804","variety","2025-08-18","soobin","0","0","Europe","3","5"
"641805","variety","2025-08-18","soobin","0","0","Middle East","3","6"
"641806","variety","2025-08-18","soobin","0","0","North America","3","3"
"641807","variety","2025-08-18","soobin","0","0","South America","3","4"
"641808","variety","2025-08-18","soobin","0","0","Southeast Asia","3","2"
"641809","variety","2025-08-18","soobin","1","0","East Asia","3","1"
"641810","variety","2025-08-18","soobin","1","0","Europe","3","5"
"641811","variety","2025-08-18","soobin","1","0","Middle East","3","6"
"641812","variety","2025-08-18","soobin","1","0","South America","3","4"
"641813","variety","2025-08-18","soobin","1","0","Southeast Asia","3","2"
"641814","variety","2025-08-18","sophia","-1","0","East Asia","3","1"
"641815","variety","2025-08-18","sophia","-1","0","Europe","3","5"
"641816","variety","2025-08-18","sophia","-1","0","Middle East","3","6"
"641817","variety","2025-08-18","sophia","-1","0","South America","3","4"
"641818","variety","2025-08-18","sophia","-1","0","Southeast Asia","3","2"
"641819","variety","2025-08-18","sophia","0","0","East Asia","3","1"
"641820","variety","2025-08-18","sophia","0","0","Europe","3","5"
"641821","variety","2025-08-18","sophia","0","0","Middle East","3","6"
"641822","variety","2025-08-18","sophia","0","0","South America","3","4"
"641823","variety","2025-08-18","sophia","0","0","Southeast Asia","3","2"
"641824","variety","2025-08-18","sophia","1","0","East Asia","3","1"
"641825","variety","2025-08-18","sophia","1","0","Europe","3","5"
